ticker,review_bucket,review_rationale,active_governed_membership_count,governed_membership_count,themes,categories,current_ranking_eligibility_reason,primary_ineligibility_bucket,coverage_status,symbol_status,manual_suppressed,manual_suppression_reason,snapshot_present,has_current_usable_snapshot,snapshot_time,snapshot_source,price,avg_volume,dollar_volume,price_valid,avg_volume_valid,dollar_volume_valid,perf_1d,perf_1w,perf_1m,perf_3m,last_failure_category,consecutive_failure_count,rolling_failure_count,last_failure_at,last_success_at,special_format_ticker,governance_cleanup_flag,near_price_threshold_flag,borderline_dollar_volume_flag,threshold_review_flag
CVAC,clearly illiquid,"materially below current liquidity floor; dollar volume 5,762,206; price 4.66",1,1,Biotech - mRNA,Healthcare - Biotech,"dollar volume invalid: 5,762,206 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,4.66,1236524.9047619049,5762206.056190477,True,True,False,-0.21,8.37,-9.69,-14.5,,0,1,2026-04-15 17:15:51.244607,2026-04-21 14:23:51.275127,False,False,False,False,False
CYBN,clearly illiquid,"materially below current liquidity floor; dollar volume 7,542,114; price 8.28",1,1,Psychedelics,Specialty Themes,"dollar volume invalid: 7,542,114 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,8.28,910883.380952381,7542114.394285713,True,True,False,1.22,1.47,50.27,33.33,,0,1,2026-04-15 17:15:51.383541,2026-04-21 14:23:54.708854,False,False,False,False,False
CYH,clearly illiquid,"materially below current liquidity floor; dollar volume 3,666,435; price 3.1",1,1,Hospitals,Healthcare - Devices & Services,"dollar volume invalid: 3,666,435 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,3.1,1182720.9010271905,3666434.79318429,True,True,False,-1.59,0.98,7.27,-0.96,,0,1,2026-04-15 17:15:51.418777,2026-04-21 14:23:55.139395,False,False,False,False,False
DAC,clearly illiquid,"materially below current liquidity floor; dollar volume 8,026,744; price 115",1,1,Shipping - Container,Industrials - Transport,"dollar volume invalid: 8,026,744 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,115.02,69785.63783966667,8026744.06431846,True,True,False,-2.27,-2.86,2.97,15.81,,0,1,2026-04-15 17:15:51.459527,2026-04-21 14:23:56.063723,False,False,False,False,False
DDD,clearly illiquid,"materially below current liquidity floor; dollar volume 5,783,053; price 2.35",1,1,3D Printing,Emerging Tech,"dollar volume invalid: 5,783,053 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,2.35,2460873.5534706665,5783052.850656066,True,True,False,1.29,18.69,21.76,-8.56,,0,1,2026-04-15 17:15:51.560685,2026-04-21 14:23:58.123885,False,False,False,False,False
DENN,clearly illiquid,"materially below current liquidity floor; dollar volume 9,851,608; price 6.25",1,1,Restaurants - Casual Dining,Consumer - Restaurants,"dollar volume invalid: 9,851,608 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,6.25,1576257.2857142857,9851608.035714284,True,True,False,-0.16,0.16,0.64,27.55,,0,1,2026-04-15 17:15:51.619883,2026-04-21 14:23:59.422263,False,False,False,False,False
DFH,clearly illiquid,"materially below current liquidity floor; dollar volume 9,977,845; price 15.52",1,1,Homebuilders - Mid,Real Estate - Non REIT,"dollar volume invalid: 9,977,845 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,15.52,642902.3934118571,9977845.145752022,True,True,False,-1.27,12.14,12.3,-19.29,,0,1,2026-04-15 17:15:51.639257,2026-04-21 14:23:59.837282,False,False,False,False,False
DRD,clearly illiquid,"materially below current liquidity floor; dollar volume 7,847,873; price 29.39",1,1,Gold - Mid Tier,Metals & Mining,"dollar volume invalid: 7,847,873 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,29.39,267025.2866757619,7847873.175400643,True,True,False,-4.89,-8.73,12.43,-21.96,,0,1,2026-04-15 17:15:51.893845,2026-04-21 14:24:04.506954,False,False,False,False,False
DSP,clearly illiquid,"materially below current liquidity floor; dollar volume 2,102,952; price 10.68",1,1,Internet - Search & Ads,Technology - Internet,"dollar volume invalid: 2,102,952 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,10.68,196905.6597259048,2102952.4458726626,True,True,False,-4.9,5.01,-6.15,-9.64,,0,1,2026-04-15 17:15:51.944607,2026-04-21 14:24:06.102162,False,False,False,False,False
DSX,clearly illiquid,"materially below current liquidity floor; dollar volume 1,284,471; price 2.48",1,1,Shipping - Dry Bulk,Industrials - Transport,"dollar volume invalid: 1,284,471 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,2.48,517932.00971561903,1284471.3840947351,True,True,False,-4.25,-1.2,7.36,25.25,,0,1,2026-04-15 17:15:51.954248,2026-04-21 14:24:06.306933,False,False,False,False,False
DTST,clearly illiquid,"materially below current liquidity floor; dollar volume 176,756; price 3.95",1,1,Telecom - Infrastructure,Telecom,"dollar volume invalid: 176,756 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,3.95,44748.45463557143,176756.39581050715,True,True,False,-0.13,-2.23,6.47,-8.99,,0,1,2026-04-15 17:15:51.983873,2026-04-21 14:24:06.920759,False,False,False,False,False
EDIT,clearly illiquid,"materially below current liquidity floor; dollar volume 5,322,181; price 3.3",1,1,Biotech - Gene Therapy,Healthcare - Biotech,"dollar volume invalid: 5,322,181 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,3.3,1612782.0133705714,5322180.644122886,True,True,False,-7.56,-2.65,41.03,63.37,,0,1,2026-04-15 17:15:52.153652,2026-04-21 14:24:09.700452,False,False,False,False,False
EGLE,clearly illiquid,"materially below current liquidity floor; dollar volume 3,403; price 29.11",1,1,Shipping - Dry Bulk,Industrials - Transport,"dollar volume invalid: 3,403 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,29.115,116.86821347619046,3402.618035359285,True,True,False,-0.2,1.93,6.25,0.97,,0,1,2026-04-15 17:15:52.199774,2026-04-21 14:24:10.346208,False,False,False,False,False
EH,clearly illiquid,"materially below current liquidity floor; dollar volume 5,737,151; price 10.78",1,1,eVTOL,Emerging Tech,"dollar volume invalid: 5,737,151 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,10.78,532203.242512619,5737150.954286032,True,True,False,-3.92,-4.52,8.34,-18.95,,0,0,,2026-04-21 14:24:10.962792,False,False,False,False,False
EMQQ,clearly illiquid,"materially below current liquidity floor; dollar volume 1,689,574; price 34.78",1,1,Emerging Markets,International,"dollar volume invalid: 1,689,574 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,34.78,48578.882417047615,1689573.530464916,True,True,False,-2.3,0.99,7.41,-11.23,,0,1,2026-04-15 17:15:52.302900,2026-04-21 14:24:12.609349,False,False,False,False,False
EVEX,clearly illiquid,"materially below current liquidity floor; dollar volume 4,055,224; price 2.94",1,1,eVTOL,Emerging Tech,"dollar volume invalid: 4,055,224 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,2.94,1379327.834371,4055223.83305074,True,True,False,-0.34,8.89,22.5,-34.38,,0,0,,2026-04-21 14:24:17.966765,False,False,False,False,False
EVGO,clearly illiquid,"materially below current liquidity floor; dollar volume 9,618,746; price 2.12",1,1,EV - Charging,Autos & EV,"dollar volume invalid: 9,618,746 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,2.12,4537144.551574238,9618746.449337384,True,True,False,-3.2,3.41,9.28,-30.72,,0,1,2026-04-15 17:15:52.564212,2026-04-21 14:24:18.167131,False,False,False,False,False
EXPI,clearly illiquid,"materially below current liquidity floor; dollar volume 5,924,151; price 6.49",1,1,Real Estate Tech,Real Estate - Non REIT,"dollar volume invalid: 5,924,151 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,6.49,912812.2399913332,5924151.437543754,True,True,False,-3.28,5.53,9.81,-29.23,,0,1,2026-04-15 17:15:52.656307,2026-04-21 14:24:20.184449,False,False,False,False,False
FANUY,clearly illiquid,"materially below current liquidity floor; dollar volume 7,726,219; price 19.94",2,2,"AI - Robotics, Automation & Controls","Artificial Intelligence, Industrials - Machinery","dollar volume invalid: 7,726,219 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,19.94,387473.38095238095,7726219.216190477,True,True,False,-3.48,-0.08,12.46,-1.97,,0,1,2026-04-15 17:15:52.729629,2026-04-21 14:24:21.708146,True,False,False,False,False
